,Unnamed: 0.1,Unnamed: 0,channels,srate,safe,mode,decimate
170,170,170,L1:HPI-ITMX_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
171,171,171,L1:HPI-ITMX_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
172,172,172,L1:HPI-ITMX_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
173,173,173,L1:HPI-ITMX_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
174,174,174,L1:HPI-ITMX_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
175,175,175,L1:HPI-ITMY_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
176,176,176,L1:HPI-ITMY_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
177,177,177,L1:HPI-ITMY_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
178,178,178,L1:HPI-ITMY_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
179,179,179,L1:HPI-ITMY_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
180,180,180,L1:HPI-ITMY_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
181,181,181,L1:HPI-ITMY_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
182,182,182,L1:HPI-ITMY_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
183,183,183,L1:HPI-ETMX_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
184,184,184,L1:HPI-ETMX_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
185,185,185,L1:HPI-ETMX_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
186,186,186,L1:HPI-ETMX_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
187,187,187,L1:HPI-ETMX_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
188,188,188,L1:HPI-ETMX_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
189,189,189,L1:HPI-ETMX_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
190,190,190,L1:HPI-ETMX_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
191,191,191,L1:HPI-ETMY_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
192,192,192,L1:HPI-ETMY_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
193,193,193,L1:HPI-ETMY_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
194,194,194,L1:HPI-ETMY_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
195,195,195,L1:HPI-ETMY_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
196,196,196,L1:HPI-ETMY_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
197,197,197,L1:HPI-ETMY_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
198,198,198,L1:HPI-ETMY_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
199,199,199,L1:IMC-DOF_1_P_IN1_DQ,2048,safe,clean,32
